"Region","Region_name","sub_region","Sub_region_name","SSP","RCP","Year","UHI_cat","Heat_wave_days","HI_cat","Population","Sensitive_pop"
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2030,"With UHI",15,"""<=28""",8340944,1303398.408
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2030,"With UHI",15,""">28 & <=34""",85325855,14183552.64
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2030,"With UHI",15,""">34 & <=42""",106514725,16818830.35
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2030,"With UHI",15,""">42 & <=55""",41631983,5077334.378
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2030,"With UHI",15,""">55""",85453,11710.51549
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2070,"With UHI",15,"""<=28""",3383409,1174357.738
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",27713417,9575084.809
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",20994659,7529757.817
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">55""",0,0
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,"""<=28""",29561248,14494555.97
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",109358112,54592704.97
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",235748830,111091035
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",667723025,337970885.4
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">55""",0,0
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,"""<=28""",21712703,5201482.974
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",56852648,22138643.53
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",179583207,61940859.88
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",1421111154,496539947.7
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">55""",2810024,995203.1562
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,"""<=28""",23551,7441.896015
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",6016498,2309469.613
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",283240153,106654084.9
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",212519914,84380341.55
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">55""",558115,260834.3682
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2070,"With UHI",15,"""<=28""",8719619,2162916.437
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",84602503,28847491.11
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",150462029,51186117.86
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",87821680,29968913.62
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2070,"With UHI",15,""">55""",201763,71425.95098
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2100,"With UHI",15,"""<=28""",2985015,1540616.823
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",32913657,16854127.98
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",9116357,4623156.627
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">55""",0,0
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,"""<=28""",16958775,10508131.57
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",62437961,39204140.62
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",164968080,94119375.16
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",486057844,301205598
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">55""",0,0
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,"""<=28""",22494131,8727012.101
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",50589320,25189993.6
